original_language,popularity,title,vote_average,tconst,primary_title,start_year,runtime_minutes,genres,movie,production_budget,worldwide_gross
en,1.774,One in the Gun,3.5,tt1217059,One in the Gun,2010,92.0,Thriller,Starsky & Hutch,60000000,170200225.0
en,1.769,Unrivaled,3.3,tt1426325,Unrivaled,2010,109.0,"Action,Drama,Sport",Days of Thunder,60000000,157670733.0
pl,1.761,Trick,5.1,tt1617207,Trick,2010,95.0,Action,Man on Fire,60000000,130968579.0
en,1.754,The Bannen Way,4.9,tt1404830,The Bannen Way,2010,93.0,"Action,Comedy,Crime",Contagion,60000000,137551594.0
en,1.733,ReGeneration,7.2,tt1580346,ReGeneration,2010,81.0,"Action,Biography,Documentary",Any Given Sunday,60000000,100230832.0
en,1.733,ReGeneration,7.2,tt9185278,ReGeneration,2018,76.0,"Documentary,War",The Horse Whisperer,60000000,186883563.0
fr,1.73,Deep in the Woods,5.3,tt1695990,Deep in the Woods,2010,102.0,Drama,Coraline,60000000,126037057.0
en,1.72,Hard Breakers,3.3,tt1220627,Hard Breakers,2010,99.0,Comedy,Deep Blue Sea,60000000,165048228.0
en,4.417,Sparkle,5.9,tt1876451,Sparkle,2012,116.0,"Drama,Music",Kangaroo Jack,60000000,90723216.0
en,1.714,Grey Skies,3.6,tt1568332,Grey Skies,2010,83.0,"Horror,Sci-Fi",The Happening,60000000,162778384.0
en,1.713,The Super,6.3,tt5884784,The Super,2017,90.0,"Horror,Mystery,Thriller",Rules of Engagement,60000000,71719931.0
en,7.042000000000002,The Super,5.5,tt1640569,The Super,2010,98.0,Horror,The Shaggy Dog,60000000,87123569.0
en,7.042000000000002,The Super,5.5,tt5884784,The Super,2017,90.0,"Horror,Mystery,Thriller",Jingle All the Way,60000000,129832389.0
en,1.703,Ghosts Don't Exist,4.1,tt1285219,Ghosts Don't Exist,2010,99.0,Horror,Hellboy,60000000,99823958.0
da,1.7,My Good Enemy,6.5,tt1467405,My Good Enemy,2010,93.0,Drama,Jack Reacher: Never Go Back,60000000,159946489.0
en,1.7,Urgency,1.9,tt1221867,Urgency,2010,90.0,Action,Baywatch,60000000,175863783.0
en,1.6980000000000002,Bulletface,5.5,tt0878654,Bulletface,2010,82.0,Thriller,A Civil Action,60000000,56709981.0
en,1.68,Closed for the Season,3.0,tt1298643,Closed for the Season,2010,114.0,"Horror,Thriller",Joy,60000000,101134059.0
en,1.661,I Am Slave,6.3,tt1596352,I Am Slave,2010,82.0,Thriller,ParaNorman,60000000,108119662.0
en,1.658,Brother's Justice,5.1,tt1540803,Brother's Justice,2010,80.0,Comedy,The Jackal,60000000,159356941.0
en,1.649,All American Zombie Drugs,6.1,tt1690545,All American Zombie Drugs,2010,99.0,"Adventure,Comedy,Crime",Paycheck,60000000,98819789.0
en,1.646,Beneath the Blue,5.5,tt1222698,Beneath the Blue,2010,92.0,Drama,Up Close & Personal,60000000,100645801.0
en,1.644,Ninjas vs. Vampires,3.8,tt1748134,Ninjas vs. Vampires,2010,89.0,"Action,Comedy,Fantasy",The Tale of Despereaux,60000000,90482317.0
fr,1.641,Small World,6.1,tt1473121,Je n'ai rien oublié,2010,93.0,Drama,The Boxtrolls,60000000,111946251.0
en,1.638,Shoot the Hero,3.4,tt1332119,Shoot the Hero,2010,80.0,"Action,Comedy",The Dark Tower,60000000,113461527.0
es,1.636,Brother,6.7,tt1588358,Brother,2010,97.0,"Drama,Family,Sport",The Tuxedo,60000000,104429625.0
en,1.624,The Two Escobars,7.4,tt2700330,The Two Escobars,2010,104.0,"Biography,Documentary,Sport",Jack Ryan: Shadow Recruit,60000000,131377412.0
en,1.615,Nightbeasts,3.5,tt1513835,Nightbeasts,2010,80.0,"Horror,Sci-Fi",Under Siege 2: Dark Territory,60000000,104324083.0
